,Gemeente,29/03/2020,28/03/2020,27/03/2020,26/03/2020,25/03/2020,24/03/2020,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020
141,Heusden,44.0,39.0,37.0,25.0,20.0,19.0,16.0,15.0,11.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0
142,Hillegom,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Hilvarenbeek,13.0,12.0,10.0,10.0,10.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0
144,Hilversum,24.0,24.0,24.0,18.0,16.0,7.0,7.0,7.0,7.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Hoeksche Waard,60.0,55.0,51.0,43.0,36.0,31.0,23.0,21.0,17.0,17.0,12.0,8.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
146,Hof van Twente,17.0,17.0,14.0,8.0,6.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Hollands Kroon,23.0,18.0,17.0,14.0,10.0,10.0,8.0,7.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Hoogeveen,12.0,9.0,8.0,7.0,7.0,6.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
149,Hoorn,22.0,20.0,17.0,15.0,14.0,12.0,11.0,9.0,8.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Horst aan de Maas,32.0,27.0,25.0,20.0,18.0,17.0,16.0,13.0,13.0,11.0,10.0,8.0,8.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
151,Houten,56.0,52.0,47.0,43.0,37.0,29.0,25.0,23.0,19.0,17.0,17.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
152,Huizen,13.0,13.0,13.0,8.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
153,Hulst,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,IJsselstein,34.0,31.0,26.0,23.0,18.0,16.0,16.0,13.0,11.0,8.0,8.0,7.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
155,Kaag en Braassem,6.0,6.0,5.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Kampen,62.0,55.0,45.0,41.0,30.0,20.0,17.0,14.0,12.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Kapelle,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Katwijk,21.0,19.0,15.0,10.0,7.0,6.0,6.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
159,Kerkrade,34.0,32.0,28.0,26.0,21.0,17.0,8.0,8.0,6.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Koggenland,10.0,9.0,6.0,6.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Krimpen aan den IJssel,13.0,12.0,7.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
162,Krimpenerwaard,33.0,30.0,24.0,19.0,16.0,12.0,11.0,11.0,9.0,7.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
163,Laarbeek,44.0,39.0,33.0,24.0,19.0,17.0,13.0,11.0,8.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
164,Landerd,47.0,44.0,42.0,34.0,25.0,25.0,23.0,22.0,20.0,20.0,18.0,16.0,14.0,10.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0
165,Landgraaf,29.0,29.0,28.0,25.0,21.0,18.0,11.0,10.0,9.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
166,Landsmeer,8.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
167,Langedijk,15.0,14.0,14.0,13.0,12.0,12.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
168,Lansingerland,47.0,45.0,34.0,28.0,25.0,24.0,20.0,20.0,16.0,14.0,13.0,10.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0
169,Laren,8.0,8.0,8.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Leeuwarden,23.0,20.0,19.0,15.0,12.0,10.0,10.0,8.0,8.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
171,Leiden,37.0,35.0,30.0,28.0,21.0,20.0,16.0,16.0,16.0,14.0,12.0,11.0,8.0,8.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0
172,Leiderdorp,7.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Leidschendam-Voorburg,21.0,21.0,18.0,17.0,14.0,13.0,10.0,10.0,9.0,7.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0
174,Lelystad,31.0,31.0,29.0,27.0,26.0,24.0,21.0,19.0,15.0,15.0,13.0,12.0,10.0,8.0,7.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0
175,Leudal,45.0,41.0,37.0,32.0,29.0,26.0,23.0,22.0,20.0,16.0,13.0,11.0,8.0,7.0,6.0,6.0,4.0,4.0,3.0,2.0,1.0,0.0
176,Leusden,19.0,17.0,16.0,13.0,13.0,9.0,7.0,6.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Lingewaard,27.0,25.0,22.0,14.0,14.0,11.0,10.0,9.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
178,Lisse,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Lochem,14.0,14.0,11.0,8.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Loon op Zand,31.0,29.0,25.0,21.0,20.0,20.0,17.0,16.0,14.0,13.0,11.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
181,Lopik,17.0,13.0,13.0,12.0,11.0,10.0,9.0,6.0,4.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Loppersum,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Losser,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Maasdriel,11.0,8.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
185,Maasgouw,13.0,13.0,13.0,12.0,10.0,9.0,9.0,8.0,7.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Maassluis,14.0,14.0,11.0,8.0,7.0,7.0,6.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Maastricht,173.0,162.0,126.0,118.0,112.0,94.0,60.0,59.0,57.0,56.0,42.0,41.0,33.0,24.0,21.0,16.0,10.0,8.0,8.0,7.0,6.0,4.0
188,Medemblik,19.0,14.0,8.0,6.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Meerssen,12.0,10.0,8.0,8.0,8.0,8.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Meierijstad,227.0,207.0,195.0,168.0,149.0,139.0,127.0,119.0,95.0,81.0,72.0,60.0,49.0,42.0,34.0,30.0,25.0,18.0,13.0,11.0,10.0,4.0
191,Meppel,8.0,6.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Middelburg,13.0,10.0,9.0,8.0,7.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Midden-Delfland,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Midden-Drenthe,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Midden-Groningen,6.0,6.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Mill en Sint Hubert,11.0,9.0,7.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Moerdijk,10.0,10.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
198,Molenlanden,19.0,18.0,17.0,16.0,16.0,13.0,11.0,11.0,11.0,11.0,9.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Montferland,10.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Montfoort,14.0,12.0,11.0,9.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Mook en Middelaar,8.0,8.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Neder-Betuwe,31.0,20.0,16.0,13.0,11.0,11.0,9.0,9.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0
203,Nederweert,27.0,24.0,21.0,18.0,14.0,11.0,9.0,8.0,7.0,7.0,7.0,7.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
204,Nieuwegein,30.0,25.0,17.0,15.0,12.0,11.0,11.0,9.0,9.0,8.0,6.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Nieuwkoop,10.0,8.0,7.0,6.0,6.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
206,Nijkerk,18.0,18.0,15.0,12.0,8.0,8.0,7.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Nijmegen,178.0,149.0,132.0,122.0,108.0,93.0,79.0,68.0,60.0,55.0,48.0,41.0,31.0,17.0,12.0,9.0,8.0,6.0,4.0,3.0,3.0,2.0
208,Nissewaard,38.0,37.0,28.0,23.0,19.0,17.0,15.0,15.0,12.0,11.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
209,Noardeast-Fryslân,,,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Noord-Beveland,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Noordenveld,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Noordoostpolder,11.0,10.0,10.0,8.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Noordwijk,17.0,15.0,10.0,8.0,7.0,6.0,6.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
214,"Nuenen, Gerwen en Nederwetten",14.0,13.0,11.0,10.0,8.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
215,Nunspeet,45.0,43.0,39.0,31.0,29.0,22.0,17.0,13.0,9.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
216,Oegstgeest,13.0,13.0,12.0,9.0,9.0,8.0,7.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0
217,Oirschot,14.0,11.0,10.0,8.0,6.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Oisterwijk,25.0,24.0,23.0,21.0,18.0,16.0,16.0,16.0,15.0,12.0,10.0,10.0,10.0,9.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0
219,Oldambt,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Oldebroek,28.0,22.0,19.0,16.0,12.0,8.0,7.0,7.0,6.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
221,Oldenzaal,19.0,18.0,17.0,15.0,13.0,8.0,6.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Olst-Wijhe,8.0,6.0,6.0,6.0,6.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Ommen,10.0,10.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Oost Gelre,11.0,8.0,7.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Oosterhout,40.0,36.0,31.0,29.0,26.0,23.0,22.0,16.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Ooststellingwerf,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,6.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
227,Oostzaan,7.0,7.0,7.0,7.0,6.0,5.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Opmeer,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Opsterland,7.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Oss,154.0,141.0,128.0,100.0,81.0,73.0,65.0,59.0,44.0,35.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
231,Oude IJsselstreek,10.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,26.0,20.0,14.0,11.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0
232,Ouder-Amstel,9.0,9.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Oudewater,21.0,21.0,18.0,12.0,10.0,7.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Overbetuwe,60.0,54.0,51.0,44.0,38.0,33.0,30.0,22.0,20.0,15.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Papendrecht,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,2.0,2.0,11.0,9.0,9.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Peel en Maas,134.0,119.0,107.0,96.0,88.0,79.0,69.0,64.0,63.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Pekela,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,41.0,36.0,31.0,19.0,14.0,10.0,8.0,4.0,3.0,1.0,0.0,0.0
238,Pijnacker-Nootdorp,26.0,24.0,23.0,20.0,16.0,14.0,12.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
239,Purmerend,56.0,52.0,48.0,39.0,32.0,23.0,22.0,20.0,14.0,11.0,11.0,11.0,10.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,2.0,2.0
240,Putten,6.0,6.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
241,Raalte,17.0,15.0,13.0,12.0,10.0,6.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Reimerswaal,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
243,Renkum,19.0,18.0,17.0,14.0,12.0,11.0,10.0,10.0,9.0,9.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
244,Renswoude,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0
245,Reusel-De Mierden,6.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Rheden,34.0,30.0,27.0,21.0,18.0,15.0,12.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Rhenen,6.0,6.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
248,Ridderkerk,33.0,27.0,19.0,13.0,9.0,7.0,5.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Rijssen-Holten,21.0,17.0,13.0,13.0,9.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250,Rijswijk,17.0,16.0,14.0,11.0,10.0,8.0,7.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Roerdalen,14.0,14.0,13.0,11.0,10.0,10.0,7.0,6.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Roermond,32.0,32.0,31.0,29.0,28.0,26.0,23.0,21.0,18.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Roosendaal,26.0,25.0,25.0,24.0,20.0,18.0,16.0,11.0,8.0,8.0,13.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,Rotterdam,341.0,308.0,249.0,204.0,186.0,163.0,149.0,139.0,120.0,104.0,7.0,6.0,6.0,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
255,Rozendaal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,81.0,58.0,41.0,30.0,25.0,24.0,20.0,15.0,15.0,15.0,14.0,14.0
256,Rucphen,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,Schagen,16.0,13.0,13.0,12.0,11.0,10.0,7.0,7.0,7.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,Scherpenzeel,4.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0
259,Schiedam,27.0,22.0,19.0,16.0,14.0,10.0,8.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,Schiermonnikoog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Schouwen-Duiveland,10.0,9.0,9.0,8.0,6.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,Simpelveld,12.0,11.0,10.0,10.0,8.0,7.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
263,Sint Anthonis,30.0,21.0,18.0,14.0,13.0,13.0,13.0,13.0,12.0,10.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
264,Sint-Michielsgestel,32.0,29.0,28.0,22.0,18.0,17.0,14.0,14.0,12.0,12.0,8.0,5.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
265,Sittard-Geleen,106.0,102.0,98.0,94.0,86.0,84.0,61.0,59.0,58.0,58.0,10.0,10.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0
266,Sliedrecht,6.0,6.0,6.0,7.0,5.0,4.0,3.0,3.0,3.0,2.0,51.0,51.0,42.0,38.0,37.0,35.0,23.0,20.0,20.0,13.0,8.0,7.0
267,Sluis,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,Smallingerland,8.0,7.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,Soest,29.0,28.0,28.0,23.0,21.0,20.0,16.0,16.0,15.0,14.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
270,Someren,27.0,22.0,19.0,15.0,10.0,7.0,7.0,6.0,5.0,5.0,13.0,12.0,11.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0
271,Son en Breugel,24.0,22.0,20.0,19.0,15.0,13.0,10.0,10.0,8.0,7.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Stadskanaal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
273,Staphorst,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Stede Broec,20.0,18.0,18.0,17.0,13.0,9.0,8.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
275,Steenbergen,17.0,14.0,14.0,11.0,11.0,9.0,8.0,8.0,5.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Steenwijkerland,10.0,8.0,8.0,8.0,6.0,5.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,Stein,32.0,31.0,29.0,28.0,24.0,24.0,9.0,6.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Stichtse Vecht,33.0,31.0,30.0,27.0,22.0,16.0,13.0,12.0,10.0,10.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
279,Súdwest-Fryslân,,,15.0,12.0,8.0,6.0,5.0,5.0,4.0,2.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0
280,Terneuzen,18.0,17.0,16.0,14.0,10.0,6.0,6.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
281,Terschelling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Texel,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
